,FIPS,Week_Mon,RCIR,RPVR_lag1,RCPSR_lag1,RBVR_lag1,RGP_lag1,RWTR_lag1,RPI_16_Weeks_lag3,RPI_12_Weeks_lag3,RPI_20_Weeks_lag3,RPI_24_Weeks_lag3,RUV_lag1,RFSRV_lag1,RGSV_lag1,RGV_lag1,RROV_lag1,ROPV_lag1,over_65,Black,medicaid_spending,health_care_spending,poverty_rate,SVI,HAQI,rep_voters,Adults_at_high_risk,Dominant_variant
2395,56,2021-05-17,1.0722360950564813,0.7694124766987177,0.8391921616466586,,0.9735643013560313,0.5711889624684696,0.7074580683974729,0.6171568277115917,0.7530143329199842,1.024332600752276,1.5037156805293488,0.832378998257589,1.084399168705259,0.777074833221483,0.945466674954084,1.0653773081435216,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Others
2396,56,2021-05-24,1.3784981715833555,0.7605710224443768,0.812856149400238,,0.9613554603889262,0.5981465630142075,0.6732558218859825,0.64536340063022,0.7313143995394301,0.9388848734720769,1.5342143450794348,0.8305891771437103,1.0944440283928878,0.7825277471939157,0.9299026478506884,1.0454266245265105,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Others
2397,56,2021-05-31,1.793129828922194,0.7538502540006312,0.7954855664615214,,0.9431048875783102,0.6247923702740159,0.6530812528487252,0.6654483939234077,0.723185839878808,0.8586838427341359,1.5534622897211128,0.8319523997142265,1.096246734047696,0.7890209155772666,0.9156221768930486,1.0133537705460343,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Others
2398,56,2021-06-07,2.2337664588757757,0.7504091194022526,0.7852601015774912,,0.9391329884075573,0.6767679624373113,0.6748453829264679,0.686322612973701,0.7329705576592903,0.8072752188672346,1.5460017111968163,0.8321356715974745,1.1048880926454303,0.791245293445303,0.9095481654147047,0.9862215311457814,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Others
2399,56,2021-06-14,2.539387847168082,0.7500344715903722,0.7757314048515387,,0.9438104458762976,0.7860490966794667,0.7068477687394769,0.7296484196908801,0.7518083270861428,0.7795802225541273,1.5178700586997698,0.8312166490472677,1.120610680767844,0.7795385317073834,0.9133299045463644,0.9779249900658302,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2400,56,2021-06-21,2.6738946760045317,0.7483597410987729,0.7647690605068044,,0.9575018034936666,0.81327028916783,0.7618216545759577,0.7850988389267128,0.7424463687701499,0.7718998492897935,1.4960788522326625,0.8324915110727227,1.1475095431737723,0.7643746423492963,0.9312395910221897,0.9994098364078906,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2401,56,2021-06-28,2.719577008868776,0.7465007180249676,0.7570965864104694,,0.9672003923417812,0.8926409696148507,0.8105429092190017,0.8567866254403297,0.7477043482050625,0.7774577598407424,1.5154099916781567,0.8377051214910082,1.162680020924042,0.7543764151568466,0.9521301868742734,1.0193128446428419,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2402,56,2021-07-05,2.5871104454382814,0.7468354166691143,0.7539423353882632,,0.9813310842299595,0.8579491730232679,0.841202700163406,0.9270388091075329,0.7803692745567549,0.7929421651711814,1.563418178200103,0.8456741125231803,1.1660866749234595,0.7609420695085567,0.9691040732561053,1.0401815962031997,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2403,56,2021-07-12,2.1519005594165375,0.7520020197572005,0.7615082478562684,,0.9869827748825833,0.9477160652733078,0.8916720158724989,1.0329608594180473,0.8217746091709605,0.8191165887002567,1.5952627086130722,0.8535064440014714,1.1609079841149736,0.7777262220011664,0.9741063555639253,1.0494818696242738,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2404,56,2021-07-19,1.6221496382336467,0.7531775649864872,0.7598965869589451,,0.993944397232002,0.9493371161036289,0.9574669375501397,1.185838780434164,0.8871480012789607,0.8220743232872821,1.596411615554425,0.8602754856125887,1.1616275697736829,0.7951714344259586,0.9771300225075411,1.0668759565999262,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
