,FIPS,Week_Mon,RCHR,RPVR_lag2,RCPSR_lag2,RBVR_lag2,RGP_lag2,RWTR_lag2,RPI_16_Weeks_lag4,RPI_12_Weeks_lag4,RPI_20_Weeks_lag4,RPI_24_Weeks_lag4,RUV_lag2,RFSRV_lag2,RGSV_lag2,RGV_lag2,RROV_lag2,ROPV_lag2,over_65,Black,medicaid_spending,health_care_spending,poverty_rate,SVI,HAQI,rep_voters,Adults_at_high_risk,Dominant_variant,RPI_12_Weeks_lag8,RPI_12_Weeks_lag12,RPI_12_Weeks_lag16
0,01,2021-03-08,1.1956654634549055,0.8612091860228969,,,0.7978956110218168,0.5128890998338945,1.0361890790788402,1.1780646881254464,1.0323203031486956,1.0510301055388713,1.5787138551939404,1.4356927450403552,1.570843616652257,0.9384456239989523,1.2209519930084274,1.3178584242545979,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.00057811394787,0.8919753440708522,0.9346519576949304
1,01,2021-03-15,1.1399927412821378,0.8290998279957167,0.8875297316325335,,0.8060650977389356,0.465109552496932,1.0526269932737031,1.2031560646112145,1.0314242486283598,1.0454980054177254,1.5379098140943115,1.4167414163840204,1.5698660183023068,0.9370435688684723,1.209915782507458,1.3037040296051512,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.0083042616735551,0.9294947326216544,0.8671692517291032
2,01,2021-03-22,1.1287847572086698,0.8009154282988298,0.8680465532271153,,0.8122056137895609,0.45041250014111284,1.0875529658301228,1.2200284019471452,1.0344285483105624,1.0416945617844757,1.504190535461348,1.396379737173881,1.5800532495468909,0.9474153662615243,1.2067017883838673,1.3046881949996543,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.0422709779994288,0.9578716124936204,0.855909811604267
3,01,2021-03-29,1.0981655941362862,0.7951280456113472,0.8489239806575911,,0.8166948995715242,0.4199763390933928,1.1222319348175744,1.2108648347785456,1.030377729448857,1.0340566437159997,1.4792701252382523,1.3763250305426102,1.5851656858250835,0.9523580919261398,1.2005100027423634,1.296656061756628,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.091417339035873,0.9889426042941246,0.8673390471209883
4,01,2021-04-05,1.019129506013765,0.7913777531606886,0.8177498515942793,,0.8390678923739426,0.4057586158656319,1.16896297737754,1.1929459435871506,1.0402704116237333,1.0362571652675252,1.461392324474759,1.3638353681119273,1.5905025426565702,0.9525059289108034,1.1911666881798275,1.279346028134095,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.133973471245567,1.00057811394787,0.8919753440708522
5,01,2021-04-12,0.9182881761732189,0.7932933174281986,0.7799399552234477,,0.8430760418158384,0.3858308535795221,1.1786952875283405,1.1475715867364145,1.0465820612345356,1.0275520362381891,1.440023666720721,1.357853614860864,1.5885142490879767,0.9415785319020853,1.1725705894290799,1.249198133592053,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.1716293513013682,1.0083042616735551,0.9294947326216544
6,01,2021-04-19,0.9864327923107608,0.7919701470870255,0.7544800321649544,,0.8463720414812855,0.36641956925148556,1.1698615422789511,1.0825185869230045,1.0636476456224677,1.0179311969798381,1.4161181686299498,1.361981585736833,1.589249473870478,0.9412872024733806,1.167808504785938,1.2340069709389667,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.195127742731785,1.0422709779994288,0.9578716124936204
7,01,2021-04-26,1.1948478241914997,0.7836219325376969,0.7447177503387578,,0.8403880995270752,0.36310625462213797,1.1360404947090914,1.0158055260350458,1.079717782393568,1.0029259470005831,1.4013552614747697,1.3713634384682827,1.5945491469740836,0.9635873827048193,1.1858222732334376,1.2426666006319176,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.2110316932408298,1.091417339035873,0.9889426042941246
8,01,2021-05-03,1.534530850966175,0.7683391496496422,0.7472882876667112,,0.8153759870012885,0.3636060632051716,1.0784957830255393,0.9587648988143139,1.095017378677449,0.9934184632687277,1.4093699466200098,1.3832804681092408,1.6080904605652064,0.9998103327785033,1.2175094281137073,1.2635599186258006,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.201368630391613,1.133973471245567,1.00057811394787
9,01,2021-05-10,1.7665252088214976,0.7563572573645339,0.7487589242678214,,0.8132478681850979,0.36512132076247505,1.0326341308891482,0.8722106619328991,1.0994343957959067,0.9984816078391098,1.4327504155602337,1.3924910214652948,1.623766640819959,1.0250856760386786,1.233821506524524,1.274742750422889,0.1733234621985505,0.2678444725214325,1.2066013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Others,1.183441146694818,1.1716293513013682,1.0083042616735551
