,FIPS,Week,Relative_hospitalization_rate,Relative_university_lag2,Relative_full_service_restaurant_lag2,Relative_hotel_lag2,Relative_grocery_store_lag2,Relative_limited_service_restaurant_lag2,Relative_elementary_school_lag2,Relative_other_general_store_lag2,Relative_gas_station_lag2,Relative_gym_lag2,Relative_cafes_snack_bar_lag2,Relative_religious_organization_lag2,Relative_parks_lag2,Relative_hardware_store_lag2,Relative_department_store_lag2,Relative_child_day_care_lag2,Relative_office_of_physician_lag2,Relative_pharmacies_lag2,Relative_sporting_goods_store_lag2,Relative_automotive_store_lag2,Relative_used_merchandise_store_lag2,Relative_convenience_store_lag2,Relative_Government_Response_Index_lag2,Relative_Weekly_testing_lag2,Relative_Past_12_week_infections_lag4,Relative_Past_16_week_infections_lag4,Relative_Past_20_week_infections_lag4,Relative_Past_24_week_infections_lag4,Relative_partial_vaccination_rate_lag2,Relative_completed_primary_series_rate_lag2,Relative_booster_vaccination_rate_lag2,Proportion_over_65,Black_proportion,Medicaid_spending,Health_care_spending,Poverty_rate,Social_vulnerability_index,HAQI,Republican_voters,Adults_at_high_risk,Dominant_variant
0,01,2021-04-19,1.2261888023148375,1.38730471276939,1.377593370427031,1.1121361218786474,0.9771880254454068,1.4790150496396026,1.080238084075155,1.8668405773669872,1.5795397175232755,0.9557974168879758,0.7077863812617599,1.1947997422547054,0.7465837280284623,1.1797687921304307,1.2844643388553838,1.3693276303133042,1.2390323674186645,1.6507386802485813,1.3234247816784495,1.0231602633171026,1.1692304667878177,0.9894960838817766,0.845166657500269,0.3515759712623562,1.1383738698505583,1.1702889236117955,1.0448019860266156,1.0287779410185096,0.7874440589537925,0.7483614701754452,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Pre-Delta
1,01,2021-04-26,1.4772971269284616,1.3979530175809787,1.3905281517429884,1.1201109767314472,0.9724516834316017,1.498358286230113,1.2165548162086688,1.8816101674285048,1.5945029657749925,1.0076876459667403,0.7081671102427498,1.237888296552838,0.7771296282497894,1.187873111240365,1.271214754041792,1.4285992282012712,1.2718378121266258,1.6598517641427983,1.302076553112627,1.03942383504031,1.1772834306611497,0.968081785069963,0.8390391277933763,0.3696026519955827,1.0731990545027008,1.1601019918355202,1.0598680891705685,1.0182578322627107,0.7776417531640385,0.7383252157895863,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Pre-Delta
2,01,2021-05-03,1.6814979007562405,1.4345113340286642,1.4004328036184668,1.086556238366303,0.9686245555555644,1.515040906745376,1.3101649227266752,1.9016932436717167,1.6156665483632646,1.0399156128673401,0.7069117974147463,1.263350647484352,0.7891452131699083,1.2038583895620247,1.2573685670028973,1.4723669747101884,1.2857562283646253,1.6656074966389247,1.2850989246891522,1.0578931788895163,1.1868208223150978,0.9552727020318205,0.8160355568872741,0.3601152649143416,1.0060346897661692,1.125481918922986,1.073846111555532,1.002247006334529,0.7632172293231859,0.7422050604807053,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Pre-Delta
3,01,2021-05-10,1.78300524314732,1.4572185807234512,1.4044442209390393,1.05109367794787,0.9676856749721734,1.5118426406319132,1.258683214880729,1.8948814373504732,1.6242695991356009,1.0335299146125065,0.7106466541736157,1.2459512698259887,0.7648210860397634,1.1980363431520245,1.2461577074912342,1.4340110897463083,1.275097324723213,1.6506053730861534,1.2722207086022523,1.0603819368726592,1.1878773247145118,0.9500684515691257,0.814195873374788,0.35559631672550757,0.9486060629342542,1.0679979826145907,1.08717681757003,0.9916422433963684,0.7525459768605145,0.7459745210078552,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Pre-Delta
4,01,2021-05-17,1.781830924669335,1.4219391216593553,1.4007179568841157,1.0392525602030003,0.963908948242327,1.4825226364781083,1.2064608225301394,1.8833068310548187,1.6096723365560577,1.0137995355582212,0.7099791687542112,1.2376988514903209,0.7297239891548529,1.162319803574895,1.2451431907346975,1.4112194897038175,1.2641568571214195,1.638886451809293,1.2661533612242817,1.041819972575539,1.1839736287956864,0.9382141160940874,0.8268345126461113,0.35421980980407003,0.8621933041771522,1.0225372812127052,1.090205513970806,0.9954017636370514,0.7480876252386547,0.7460078296175582,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Pre-Delta
5,01,2021-05-24,1.6667943942856833,1.315121489355845,1.3886063305227818,1.0502166679711975,0.9571505648480358,1.4513449464966641,1.162800111187047,1.8788472727025818,1.6030353585504722,1.002696573295621,0.7053816293107016,1.2296265251932708,0.7026260804304114,1.1233092120849348,1.2575194602035882,1.3886247213703462,1.2706311979567042,1.642723502261711,1.2681221692876357,1.0122536027944795,1.176903660946926,0.9341492670618707,0.8342400691739463,0.3975991142681844,0.7710092701177592,0.9647807119747118,1.0810093952146882,1.011140833017377,0.7476727220358087,0.745086610379585,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Pre-Delta
6,01,2021-05-31,1.3923295615260816,1.1726808002919593,1.3745306088219056,1.0555324154710668,0.9502699821928341,1.4367262169609603,1.140991625294669,1.8806189259500938,1.5846489129926515,1.0088525458470023,0.7024349496807185,1.2380540062954917,0.6975067778696961,1.1038595686147092,1.2731517852989274,1.3947578268882848,1.2828718094083056,1.6504132938576448,1.2718230405598099,0.9998642954129155,1.1780692451371826,0.9306129109558205,0.8448620352839817,0.44175337967780626,0.7138733939938948,0.9145578434733007,1.0562188432550599,1.0292382715196948,0.7427230067235342,0.740211431307307,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Pre-Delta
7,01,2021-06-07,1.0647219727593231,1.0600745756181233,1.3660061046707876,1.0620423523408078,0.9507665794207348,1.445592899785661,1.09509583628116,1.8956465406439482,1.5938078419234412,1.0095374368252767,0.7082862042380859,1.244194004407378,0.6964454864799571,1.111763684563673,1.286849329252825,1.3888141608188929,1.2923004036823307,1.666352333142669,1.294957965915555,1.0218983672990003,1.1831569885631052,0.9444277116027909,0.8707176924558191,0.43529938896259557,0.7216121643175432,0.9012905097691567,1.0275638513613194,1.057752627992603,0.7357943875498395,0.7317039179899351,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Pre-Delta
8,01,2021-06-14,0.8560448744004664,1.04094317669681,1.3640264794311758,1.083496557870164,0.9546472173014661,1.4468283940696305,0.9688846925425014,1.8927663007946862,1.5704789930069412,0.9855660239749006,0.7126316952613567,1.2350301576052793,0.6870789341387975,1.1130697744493938,1.2658966100527316,1.340079798982276,1.2837496024718884,1.6580318846980373,1.3152790416423799,1.0355717985895352,1.1714921080065268,0.9389036297479261,0.8306566390877191,0.4666411358275125,0.7539892743289992,0.878552229102537,1.0164269660415033,1.081557000072143,0.7269863318458423,0.7174839986736595,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Delta
9,01,2021-06-21,0.8078179119870386,1.1129602527379534,1.3652980234296332,1.1167309025237868,0.9548082125675351,1.4509517910747438,0.8005074246032454,1.8600441649215602,1.5394980045325237,0.9430388528480012,0.7190325845568203,1.2444201462288598,0.6438011554558908,1.099368739410729,1.2343356850954736,1.2930340855550373,1.284310748529107,1.6828641828558302,1.295137427911244,1.0213903099852901,1.1512129692502855,0.920623424688442,0.8282226774056466,0.4725220161529844,0.7215859086573143,0.8200028751582323,0.9760368629084991,1.0815226637146935,0.7213184858109567,0.7057339996279215,,0.1733234621985505,0.2678444725214325,1206.6013668666387,0.007191855905906,0.154,0.6141364860391766,83.4,0.62,0.431,Delta
