FIPS,total_pop,X0_to_4,X5_to_9,X10_to_14,X15_to_19,X20_to_24,X25_to_29,X30_to_34,X35_to_39,X40_to_44,X45_to_49,X50_to_54,X55_to_59,X60_to_64,X65_to_69,X70_to_74,X75_to_79,X80_to_84,X85_and_older,over_60,per_over_60
01,4887871,293203,297900,310495,315680,325220,340014,303526,303994,288308,312966,314492,336811,318368,270799,216922,150858,98450,89865,1145262,0.23430692
02,737438,53115,52056,49759,46263,53000,61672,57193,51672,42978,43558,44559,49246,45356,35078,23477,13893,7710,6853,132367,0.179495768
04,7171646,435936,451726,476421,473794,492176,517980,467865,458887,421544,432165,418625,442085,424192,389729,336433,239494,150319,142275,1682442,0.234596353
05,3013825,190343,193284,200786,197707,201638,206497,190091,191673,176845,184172,184495,198163,186304,162561,133450,95234,61565,59017,698131,0.231642846
06,39557045,2441300,2488902,2547973,2545375,2711800,3125816,2917983,2754980,2500691,2568083,2503891,2518810,2262416,1853102,1432312,976718,663308,743585,7931441,0.200506408
08,5695564,336854,347953,365378,363364,378514,453907,440515,415058,365021,367581,342590,367276,343324,288077,212721,134107,84960,88364,1151553,0.202184191
09,3572665,183134,196011,217897,241904,243116,222923,222467,217876,205460,234976,259975,269467,242338,190320,153250,107386,72294,91871,857459,0.24000543
10,967171,54811,56247,57654,60363,58349,66980,62083,58850,52618,58432,64059,68793,66846,59514,48680,32805,20250,19837,247932,0.256347637
11,702455,45617,37622,28573,36900,52924,83096,80991,62212,43462,38787,36666,36676,33626,27984,21120,14419,9627,12153,118929,0.169304795
12,21299325,1143183,1157587,1206247,1206422,1269823,1436477,1351778,1318582,1250182,1351855,1394517,1470580,1384021,1271880,1126022,833186,555564,571419,5742092,0.269590327
13,10519475,657414,685904,727758,728370,716652,767745,705501,705228,667374,718419,693019,682347,603335,500976,394443,259740,158617,146633,2063744,0.196183175
15,1420491,87704,86869,81954,77179,90951,103977,99029,96796,83714,85505,85119,90807,89920,82492,66441,42395,28595,41044,350887,0.247018109
16,1754208,116339,122965,131036,124506,114894,119176,112206,115383,104646,101672,98253,108608,106242,94545,73696,50168,30454,29419,384524,0.219200916
17,12741080,760619,778102,819148,828205,847502,903780,866001,854521,785204,817893,821957,867598,797589,649574,492679,348421,235613,266674,2790550,0.219019895
18,6691878,418544,430106,448590,455653,471214,458859,418579,425918,396284,419086,420738,450922,422364,350525,265056,185913,122717,130810,1477385,0.220772853
19,3156145,198218,201115,208564,214122,227778,204286,193429,202104,177831,182267,189064,213907,203630,172693,128180,92687,67179,79091,743460,0.23555952
20,2911505,189335,197621,200446,200274,213020,195035,187849,189972,166350,166989,168948,191689,181736,150262,112595,78411,55437,65536,643977,0.221183546
21,4468402,275412,276726,285788,287105,301530,310326,274781,283045,268904,285632,291182,307881,289464,245059,190146,130899,83904,80618,1020090,0.228289666
22,4659978,307019,301567,307358,296013,309308,343819,323363,313687,269839,275446,287860,312333,293933,242885,185061,126634,82803,81050,1012366,0.217246948
23,1338404,64282,67596,73235,77391,75024,80641,79699,78163,74220,85710,94463,107152,104829,91727,71640,47585,31628,33419,380828,0.284538899
24,6042718,364504,370444,378506,381504,376550,418434,416178,407402,366399,397341,421586,432313,380421,307278,238174,162850,104431,118403,1311557,0.217047527
25,6902149,360161,370010,389142,455406,494067,507860,485053,440081,400571,443793,477738,492474,446693,367250,286579,193337,132082,159852,1585793,0.229753516
26,9995915,572163,586648,619422,653747,694627,694454,602197,599690,563499,629912,660148,716278,686526,571956,432746,302102,195814,213986,2403130,0.240411208
27,5611179,355291,360434,370652,357809,360065,376534,384391,383690,326575,336922,354569,394922,359523,294482,215698,153154,104784,121684,1249325,0.222649286
28,2986530,185477,192967,206927,205933,206761,209411,184895,189869,175129,184333,184460,198698,187195,157411,123174,85408,56141,52341,661670,0.221551433
29,6126452,372713,377947,391940,391387,409228,426568,396937,394342,350197,369939,381749,430286,399255,332509,260068,185960,123543,131884,1433219,0.233939481
30,1062305,62536,63526,65281,64023,72513,71120,66343,67394,59002,58886,61392,74523,76864,68722,50861,34678,21946,22695,275766,0.259592113
31,1929268,132968,132340,133482,131579,137180,128475,127248,128339,110972,109690,110281,125547,117501,99312,73215,51194,36867,43078,421167,0.218304041
32,3034392,185995,191607,197022,181098,182064,227464,217908,210838,192315,201625,193714,194281,182280,160427,132825,88212,51355,43362,658461,0.21699932
33,1356458,64020,69360,76114,85131,89682,85844,83231,79847,74827,89868,100374,110921,101594,82879,64054,41515,26709,30488,347239,0.255989496
34,8908520,518628,533562,558614,557815,551030,583053,572786,581487,557813,602340,633534,646773,572558,451916,358182,253635,172501,202293,2011085,0.225748497
35,2095428,124246,134822,139941,139052,141547,145687,138148,133594,117190,119283,121582,139264,134883,121673,96211,64896,42238,41171,501072,0.239126326
36,19542209,1140442,1119326,1117870,1188292,1302338,1485577,1393216,1273063,1158801,1240014,1315115,1358693,1235928,1017063,792057,559571,388524,456319,4449462,0.2276847
37,10383620,610128,628094,664208,684178,697871,728562,664586,658604,637301,697294,680546,695970,647013,560023,450435,300671,192387,185749,2336278,0.224996485
38,760077,54695,50206,47648,47282,63579,61153,53647,49895,40507,39212,40793,48475,46348,37277,26945,18962,14657,18796,162985,0.214432222
39,11689442,694789,708148,737787,761897,758902,806886,738394,724205,666987,732526,752351,821402,790146,655007,495368,349819,238491,256337,2785168,0.238263554
40,3943079,260429,267797,270110,264140,273690,280849,262369,261410,228978,232318,227992,255026,238418,199427,159219,112935,74776,73196,857971,0.217589097
41,4190713,234214,242575,249214,246835,265773,302744,293741,294348,265419,264308,248366,270029,274456,253268,194924,127826,78648,84025,1013147,0.241760054
42,12807060,702997,725614,755233,810300,815049,870748,830358,782766,715779,797593,855188,921795,888010,737898,572852,407338,283299,334243,3223640,0.251708042
44,1057315,54413,54840,58821,71426,76616,76369,69862,65405,58781,66143,73227,76974,72184,57725,44870,30741,21066,27852,254438,0.240645408
45,5084127,292391,306255,319554,323894,332074,354451,319439,316074,295323,320122,326336,344755,333544,302279,247552,163274,97835,88975,1233459,0.242609793
46,882235,62132,60762,60882,57674,59585,58754,57341,56007,47902,47241,49840,59311,57950,50160,34890,23666,17147,20991,204804,0.23214223
47,6770010,406574,412340,430114,425325,445657,492464,438603,432883,407384,442810,439985,456537,429637,366920,294682,201335,126698,120062,1539334,0.22737544
48,28701845,2024126,2047747,2091419,2032343,1998543,2159807,2076521,2030827,1850945,1847367,1705590,1712901,1521389,1226455,940074,627316,407976,400499,5123709,0.17851497
49,3161105,253004,259078,266799,248985,260906,247231,217677,231359,203255,172668,149505,155362,144798,119503,90368,62027,40804,37776,495276,0.156678124
50,626299,29681,31272,33761,42285,46193,37533,36558,36604,33997,38532,42187,48697,47792,41336,31557,20710,13183,14421,168999,0.26983757
51,8517685,510924,514457,528362,542284,578812,604186,586120,578634,526249,558081,567303,583042,523830,432802,346236,235193,149278,151892,1839231,0.215930854
53,7535591,462701,466916,462802,447049,481263,589604,563753,536144,466725,474408,459123,491676,469195,401689,307119,198092,123949,133383,1633427,0.216761632
54,1805832,95257,101043,104388,107227,113094,113614,101748,109230,107530,116488,117965,127758,130612,119700,93137,64373,42768,39900,490490,0.271614414
55,5813568,334382,349799,369348,378418,395921,374435,362942,371797,332919,352344,385213,425757,394820,329181,242442,169120,116094,128636,1380293,0.237426138
56,577737,35912,37847,39104,36313,37966,38879,38899,39158,33555,32540,32340,39394,40455,33583,24585,16203,10323,10681,135830,0.235106978
