"","var","est","se","model","Var"
"1",0.224727236725801,0.364637067242661,0.0385809114032068,"mod_others","RPI_12_Weeks_lag4"
"2",0.434155099672081,0.28054520778623,0.0291392559892514,"mod_others","RPI_12_Weeks_lag4"
"3",0.578027531027709,0.204927948425381,0.0207145143307072,"mod_others","RPI_12_Weeks_lag4"
"4",0.618968326573134,0.182873337423998,0.018325504292603,"mod_others","RPI_12_Weeks_lag4"
"5",0.642567384523099,0.168787650590013,0.0167698046424677,"mod_others","RPI_12_Weeks_lag4"
"6",0.66923467192092,0.153423247135307,0.0150730649676034,"mod_others","RPI_12_Weeks_lag4"
"7",0.681772275603858,0.146937582915635,0.0144101251134394,"mod_others","RPI_12_Weeks_lag4"
"8",0.702156517041603,0.135633632734219,0.0132336430879253,"mod_others","RPI_12_Weeks_lag4"
"9",0.72712036478153,0.12346422541846,0.0119714809875895,"mod_others","RPI_12_Weeks_lag4"
"10",0.750922477218888,0.111352023329858,0.0107262265558068,"mod_others","RPI_12_Weeks_lag4"
"11",0.782563695675035,0.0940768172716792,0.00889048955608957,"mod_others","RPI_12_Weeks_lag4"
"12",0.792914401847335,0.0895242767620863,0.00843448970008835,"mod_others","RPI_12_Weeks_lag4"
"13",0.802942429308,0.0846545135657493,0.00793828748980584,"mod_others","RPI_12_Weeks_lag4"
"14",0.812258763001153,0.0801555975525917,0.00749252638080014,"mod_others","RPI_12_Weeks_lag4"
"15",0.826573005875608,0.0738032798872291,0.0068537845414534,"mod_others","RPI_12_Weeks_lag4"
"16",0.839148518565494,0.0678520925571665,0.00626657928784467,"mod_others","RPI_12_Weeks_lag4"
"17",0.848581081567469,0.0631255583694409,0.00578118599030989,"mod_others","RPI_12_Weeks_lag4"
"18",0.861455174876688,0.057162331157137,0.00515830929294387,"mod_others","RPI_12_Weeks_lag4"
"19",0.873976834242647,0.0515821223630139,0.00459791338842839,"mod_others","RPI_12_Weeks_lag4"
"20",0.892278795455019,0.0430700764663968,0.0036986415652573,"mod_others","RPI_12_Weeks_lag4"
"21",0.918689842693221,0.0299931440598927,0.00236471208795273,"mod_others","RPI_12_Weeks_lag4"
"22",0.942867527650503,0.0207341130167742,0.00150146144078871,"mod_others","RPI_12_Weeks_lag4"
"23",0.966265977953165,0.00940092247874619,0.000803601469361835,"mod_others","RPI_12_Weeks_lag4"
"24",0.992976248816024,-0.00397552937348056,0.00139497103640244,"mod_others","RPI_12_Weeks_lag4"
"25",1.02143764117505,-0.0155053592107004,0.00241311005888134,"mod_others","RPI_12_Weeks_lag4"
"26",1.0465748695209,-0.0269450930574791,0.00350649386785791,"mod_others","RPI_12_Weeks_lag4"
"27",1.08189850779356,-0.042315421469253,0.00495490609362669,"mod_others","RPI_12_Weeks_lag4"
"28",1.10264367786595,-0.0506724033096839,0.00574048125712555,"mod_others","RPI_12_Weeks_lag4"
"29",1.15755437462368,-0.0715929317382815,0.0077045474379713,"mod_others","RPI_12_Weeks_lag4"
"30",1.18844566166327,-0.0845355013108324,0.00884323746515897,"mod_others","RPI_12_Weeks_lag4"
"31",1.25766972144565,-0.11216086699901,0.011418325721257,"mod_others","RPI_12_Weeks_lag4"
"32",1.29621428304361,-0.128436317966365,0.0128700976379163,"mod_others","RPI_12_Weeks_lag4"
"33",1.36789366494703,-0.153980397113472,0.0152077966335951,"mod_others","RPI_12_Weeks_lag4"
"34",1.3970795100487,-0.163399392353206,0.0161345392840771,"mod_others","RPI_12_Weeks_lag4"
"35",1.42096678371391,-0.171178865760567,0.0168642701946278,"mod_others","RPI_12_Weeks_lag4"
"36",1.46682091917936,-0.187300473872808,0.0183144410963457,"mod_others","RPI_12_Weeks_lag4"
"37",1.55039181533333,-0.213206829817012,0.0206409240038085,"mod_others","RPI_12_Weeks_lag4"
"38",1.64164936313686,-0.240330902618504,0.0229940615312146,"mod_others","RPI_12_Weeks_lag4"
"39",1.75348031823327,-0.272505511320036,0.0255466360485961,"mod_others","RPI_12_Weeks_lag4"
"40",1.95596721088103,-0.309924350371386,0.0286681275943225,"mod_others","RPI_12_Weeks_lag4"
"41",2.66719706973345,-0.486282096019264,0.0378981809671886,"mod_others","RPI_12_Weeks_lag4"
"42",0.204472159388369,0.115706442316922,0.0847610174308662,"mod_others","RPI_16_Weeks_lag4"
"43",0.44473871908168,0.129542265591702,0.051533510983018,"mod_others","RPI_16_Weeks_lag4"
"44",0.557735076704316,0.132553345687255,0.0350189162957981,"mod_others","RPI_16_Weeks_lag4"
"45",0.653081252848725,0.130780894478807,0.0253123276156741,"mod_others","RPI_16_Weeks_lag4"
"46",0.690211475787796,0.128443804292521,0.0213270702325008,"mod_others","RPI_16_Weeks_lag4"
"47",0.707458068397473,0.12695480903951,0.0195493559861204,"mod_others","RPI_16_Weeks_lag4"
"48",0.722907957376807,0.125240468194956,0.0178784900063447,"mod_others","RPI_16_Weeks_lag4"
"49",0.747280542504965,0.122731566658573,0.0159816547865173,"mod_others","RPI_16_Weeks_lag4"
"50",0.767429544405252,0.119422651422944,0.0141057686188153,"mod_others","RPI_16_Weeks_lag4"
"51",0.782320611588425,0.11675324131423,0.0129609788279899,"mod_others","RPI_16_Weeks_lag4"
"52",0.791476036839659,0.115295355238332,0.0124604615016539,"mod_others","RPI_16_Weeks_lag4"
"53",0.805579161737549,0.113530145584177,0.0119559769657753,"mod_others","RPI_16_Weeks_lag4"
"54",0.817176948322997,0.111294222030353,0.0114484890634912,"mod_others","RPI_16_Weeks_lag4"
"55",0.827774814922956,0.109032383061842,0.0110462449126812,"mod_others","RPI_16_Weeks_lag4"
