"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"30","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0854090791453221,0.0210340905377207,0.881100902590453,NA,NA,NA,NA,NA,NA,NA
"31","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.081639331088163,0.0203660316272365,0.887807103598867,NA,NA,NA,NA,NA,NA,NA
"32","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0778436100338919,0.0197462103487637,0.894513304607281,NA,NA,NA,NA,NA,NA,NA
"33","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0740207812641624,0.019175477787107,0.901219505615694,NA,NA,NA,NA,NA,NA,NA
"34","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0701697484362628,0.0186543481310369,0.907925706624108,NA,NA,NA,NA,NA,NA,NA
"35","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0662894561889857,0.0181829631567177,0.914631907632522,NA,NA,NA,NA,NA,NA,NA
"36","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0623788832947348,0.0177610634952498,0.921338108640935,NA,NA,NA,NA,NA,NA,NA
"37","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0584370503138716,0.0173879743790745,0.928044309649349,NA,NA,NA,NA,NA,NA,NA
"38","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0544630303190305,0.017062609524198,0.934750510657763,NA,NA,NA,NA,NA,NA,NA
"39","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0504559626066245,0.0167834958138654,0.941456711666176,NA,NA,NA,NA,NA,NA,NA
"40","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0464150641937335,0.0165488174256733,0.94816291267459,NA,NA,NA,NA,NA,NA,NA
"41","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0423396173783897,0.0163564664966756,0.954869113683004,NA,NA,NA,NA,NA,NA,NA
"42","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0382289534818215,0.016204101278565,0.961575314691417,NA,NA,NA,NA,NA,NA,NA
"43","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.034082465062429,0.016089225599841,0.968281515699831,NA,NA,NA,NA,NA,NA,NA
"44","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0298996097739668,0.0160092709901888,0.974987716708245,NA,NA,NA,NA,NA,NA,NA
"45","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0256798999743552,0.0159616711485309,0.981693917716658,NA,NA,NA,NA,NA,NA,NA
"46","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0214229091924297,0.0159439416037035,0.988400118725072,NA,NA,NA,NA,NA,NA,NA
"47","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0171282840275697,0.015953756729614,0.995106319733486,NA,NA,NA,NA,NA,NA,NA
"48","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0127957628001208,0.0159890224326757,1.0018125207419,NA,NA,NA,NA,NA,NA,NA
"49","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.00842517433156222,0.0160479248830741,1.00851872175031,NA,NA,NA,NA,NA,NA,NA
"50","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.00401639268103469,0.0161289365614588,1.01522492275873,NA,NA,NA,NA,NA,NA,NA
"51","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.000430661226059011,0.016230839946468,1.02193112376714,NA,NA,NA,NA,NA,NA,NA
"52","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.00491599895769429,0.0163527536000251,1.02863732477555,NA,NA,NA,NA,NA,NA,NA
"53","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.00943958484405711,0.0164941213883649,1.03534352578397,NA,NA,NA,NA,NA,NA,NA
"54","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0140013210356219,0.0166547159836722,1.04204972679238,NA,NA,NA,NA,NA,NA,NA
"55","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0186010088833829,0.0168346483928349,1.04875592780079,NA,NA,NA,NA,NA,NA,NA
"56","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0232383549076787,0.0170343390689317,1.05546212880921,NA,NA,NA,NA,NA,NA,NA
"57","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0279130008834033,0.0172544675525875,1.06216832981762,NA,NA,NA,NA,NA,NA,NA
"58","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.032624532341049,0.0174959318996541,1.06887453082604,NA,NA,NA,NA,NA,NA,NA
"59","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0373724504396702,0.0177598248880984,1.07558073183445,NA,NA,NA,NA,NA,NA,NA
