"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"36","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0600024505467581,0.00718868295846376,0.92824000305454,NA,NA,NA,NA,NA,NA,NA
"37","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0575532539467137,0.00718201826921149,0.936259963231526,NA,NA,NA,NA,NA,NA,NA
"38","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0549364641000465,0.0072095387536313,0.944279923408512,NA,NA,NA,NA,NA,NA,NA
"39","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0521467401726494,0.00726478368851725,0.952299883585497,NA,NA,NA,NA,NA,NA,NA
"40","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0491797306525706,0.0073414488509949,0.960319843762483,NA,NA,NA,NA,NA,NA,NA
"41","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0460319065592045,0.00743365521326851,0.968339803939469,NA,NA,NA,NA,NA,NA,NA
"42","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.04270016358679,0.00753608952097109,0.976359764116454,NA,NA,NA,NA,NA,NA,NA
"43","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0391818225039928,0.0076441051783315,0.98437972429344,NA,NA,NA,NA,NA,NA,NA
"44","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0354746743245488,0.00775377142082251,0.992399684470425,NA,NA,NA,NA,NA,NA,NA
"45","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0315769568415148,0.00786187386361103,1.00041964464741,NA,NA,NA,NA,NA,NA,NA
"46","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0274873276600503,0.00796588948578693,1.0084396048244,NA,NA,NA,NA,NA,NA,NA
"47","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0232048270565872,0.00806394753496898,1.01645956500138,NA,NA,NA,NA,NA,NA,NA
"48","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0187288140942162,0.00815478265913712,1.02447952517837,NA,NA,NA,NA,NA,NA,NA
"49","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0140589652018204,0.00823769822230718,1.03249948535535,NA,NA,NA,NA,NA,NA,NA
"50","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.00919526442864426,0.0083125329174041,1.04051944553234,NA,NA,NA,NA,NA,NA,NA
"51","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.00413801676591594,0.00837963575875006,1.04853940570932,NA,NA,NA,NA,NA,NA,NA
"52","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0011121411841625,0.00843984525991954,1.05655936588631,NA,NA,NA,NA,NA,NA,NA
"53","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.00655427594106254,0.00849446578809735,1.0645793260633,NA,NA,NA,NA,NA,NA,NA
"54","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0121871033176669,0.00854525680382464,1.07259928624028,NA,NA,NA,NA,NA,NA,NA
"55","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0180086990436209,0.008594447325864,1.08061924641727,NA,NA,NA,NA,NA,NA,NA
"56","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0240165166495181,0.00864470057589843,1.08863920659425,NA,NA,NA,NA,NA,NA,NA
"57","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0302074612655706,0.00869906139677031,1.09665916677124,NA,NA,NA,NA,NA,NA,NA
"58","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0365778489239052,0.00876090298277607,1.10467912694822,NA,NA,NA,NA,NA,NA,NA
"59","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.043123326649054,0.00883385786688837,1.11269908712521,NA,NA,NA,NA,NA,NA,NA
"60","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0498390293968847,0.00892170545592183,1.1207190473022,NA,NA,NA,NA,NA,NA,NA
"61","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0567198115519565,0.00902824304521511,1.12873900747918,NA,NA,NA,NA,NA,NA,NA
"62","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0637601677999956,0.00915717613027979,1.13675896765617,NA,NA,NA,NA,NA,NA,NA
"63","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.070954077418129,0.00931200183202256,1.14477892783315,NA,NA,NA,NA,NA,NA,NA
"64","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0782952613159962,0.00949586583616017,1.15279888801014,NA,NA,NA,NA,NA,NA,NA
"65","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0857773577826565,0.00971144982185482,1.16081884818712,NA,NA,NA,NA,NA,NA,NA
"66","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0933939346444859,0.009960895970567,1.16883880836411,NA,NA,NA,NA,NA,NA,NA
"67","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.101138498264096,0.0102457612204254,1.17685876854109,NA,NA,NA,NA,NA,NA,NA
"68","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.10900441192033,0.0105670038549522,1.18487872871808,NA,NA,NA,NA,NA,NA,NA
"69","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.116984894231568,0.010924996178917,1.19289868889507,NA,NA,NA,NA,NA,NA,NA
"70","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.12507307734651,0.0113195644562873,1.20091864907205,NA,NA,NA,NA,NA,NA,NA
"71","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.133262053585838,0.0117500512756926,1.20893860924904,NA,NA,NA,NA,NA,NA,NA
"72","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.141544912285316,0.0122153913167646,1.21695856942602,NA,NA,NA,NA,NA,NA,NA
"73","model_1_all","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.149914763330935,0.0127141917949661,1.22497852960301,NA,NA,NA,NA,NA,NA,NA
