,x
1,0.766647736074706
2,0.780122568822068
3,0.793597401569429
4,0.80707223431679
5,0.820547067064152
6,0.834021899811513
7,0.847496732558874
8,0.860971565306235
9,0.874446398053597
10,0.887921230800958
11,0.901396063548319
12,0.91487089629568
13,0.928345729043042
14,0.941820561790403
15,0.955295394537764
16,0.968770227285126
17,0.982245060032487
18,0.995719892779848
19,1.00919472552721
20,1.02266955827457
21,1.03614439102193
22,1.04961922376929
23,1.06309405651665
24,1.07656888926402
25,1.09004372201138
26,1.10351855475874
27,1.1169933875061
28,1.13046822025346
29,1.14394305300082
30,1.15741788574818
31,1.17089271849554
32,1.18436755124291
33,1.19784238399027
34,1.21131721673763
35,1.22479204948499
36,1.23826688223235
37,1.25174171497971
38,1.26521654772707
39,1.27869138047443
40,1.2921662132218
