"","var","est","se","model","Var"
"1",0.648716403762805,0.0550686504532415,0.0379102016797731,"mod_delta","RCPSR_lag2"
"2",0.753942335388263,0.0645252964165967,0.0215498380845134,"mod_delta","RCPSR_lag2"
"3",0.769525908860509,0.065619129801814,0.0194849640119772,"mod_delta","RCPSR_lag2"
"4",0.785260101577491,0.0665659235449152,0.0175384980703654,"mod_delta","RCPSR_lag2"
"5",0.800315321980648,0.0673752812545695,0.0156196714515055,"mod_delta","RCPSR_lag2"
"6",0.815923440158482,0.0679749187662961,0.0137949514153089,"mod_delta","RCPSR_lag2"
"7",0.833072243352372,0.0683085249455421,0.0119738684202583,"mod_delta","RCPSR_lag2"
"8",0.845737290900329,0.0683010763669938,0.0106669794953397,"mod_delta","RCPSR_lag2"
"9",0.855409640139157,0.0681393052148845,0.0098570151673798,"mod_delta","RCPSR_lag2"
"10",0.875159748057391,0.0672010081150468,0.00821570027653294,"mod_delta","RCPSR_lag2"
"11",0.886141559114802,0.0662825773086722,0.00746226523365243,"mod_delta","RCPSR_lag2"
"12",0.895515470903124,0.0652269372684395,0.00693548183162581,"mod_delta","RCPSR_lag2"
"13",0.906676157554132,0.0636601679768853,0.006489756101958,"mod_delta","RCPSR_lag2"
"14",0.916673164980926,0.0618776860565638,0.00625448878115438,"mod_delta","RCPSR_lag2"
"15",0.929494809235504,0.0594616952900817,0.00617517376181157,"mod_delta","RCPSR_lag2"
"16",0.937442957705341,0.0577802903978464,0.00620818202898345,"mod_delta","RCPSR_lag2"
"17",0.941523209912635,0.0568757610581395,0.00624350559782981,"mod_delta","RCPSR_lag2"
"18",0.947107253455676,0.0554258509099175,0.00631427166025646,"mod_delta","RCPSR_lag2"
"19",0.950402724119106,0.0545020789569777,0.00636596937091959,"mod_delta","RCPSR_lag2"
"20",0.961177345885,0.0509252807993258,0.00659286158961116,"mod_delta","RCPSR_lag2"
"21",0.972555496211805,0.0471285109102164,0.00683726214253632,"mod_delta","RCPSR_lag2"
"22",0.988549448851254,0.0407154400728796,0.00722434896574882,"mod_delta","RCPSR_lag2"
"23",1.00336005600355,0.0337793630978754,0.00759168554522814,"mod_delta","RCPSR_lag2"
"24",1.01755783906155,0.0265152864652937,0.00789806648996029,"mod_delta","RCPSR_lag2"
"25",1.03875085927872,0.0144817460935915,0.00826812176592701,"mod_delta","RCPSR_lag2"
"26",1.06111030695606,0.000678011755563326,0.00856167773850431,"mod_delta","RCPSR_lag2"
"27",1.06765031051798,-0.00342009145131486,0.00862917368515918,"mod_delta","RCPSR_lag2"
"28",1.07493348112392,-0.00824599626244842,0.00871700639255498,"mod_delta","RCPSR_lag2"
"29",1.08796877465126,-0.0174283450171349,0.00888922893769511,"mod_delta","RCPSR_lag2"
"30",1.09561239129093,-0.0227267508062298,0.00899613104798501,"mod_delta","RCPSR_lag2"
"31",1.11285084413442,-0.0361839322347504,0.00931244513174877,"mod_delta","RCPSR_lag2"
"32",1.12478347500325,-0.0458740382760666,0.00954439682390059,"mod_delta","RCPSR_lag2"
"33",1.13067765732622,-0.0504546792394673,0.00966500161401114,"mod_delta","RCPSR_lag2"
"34",1.15744832193096,-0.0730922875460497,0.010453669833747,"mod_delta","RCPSR_lag2"
"35",1.18080666829279,-0.0961148102155462,0.0115467351331934,"mod_delta","RCPSR_lag2"
"36",1.20124020089228,-0.115916057780981,0.0127164266744761,"mod_delta","RCPSR_lag2"
"37",1.24934364078472,-0.161643177646859,0.0161509051772787,"mod_delta","RCPSR_lag2"
"38",1.265374036105,-0.17817404443172,0.0175973559945498,"mod_delta","RCPSR_lag2"
"39",1.2826738401973,-0.193761814338168,0.0190010516083861,"mod_delta","RCPSR_lag2"
"40",1.32171452930393,-0.229388901106346,0.0222107596376103,"mod_delta","RCPSR_lag2"
"41",1.44509782614344,-0.321060938851968,0.0301649143956528,"mod_delta","RCPSR_lag2"
"42",0.303197137512803,0.346095067468645,0.0215581817671863,"mod_delta","RPI_12_Weeks_lag4"
"43",0.385316255610598,0.300613820571918,0.0179315417860355,"mod_delta","RPI_12_Weeks_lag4"
"44",0.425570380282311,0.278336329180002,0.0161929455812465,"mod_delta","RPI_12_Weeks_lag4"
"45",0.462371066943352,0.258218811546275,0.0146266003129892,"mod_delta","RPI_12_Weeks_lag4"
"46",0.492656891584558,0.241665893615213,0.0133865098346602,"mod_delta","RPI_12_Weeks_lag4"
"47",0.526794400394574,0.222763711702195,0.0119770821526988,"mod_delta","RPI_12_Weeks_lag4"
"48",0.558618120392007,0.2035148622239,0.010547550906446,"mod_delta","RPI_12_Weeks_lag4"
"49",0.591070653352159,0.185548798415753,0.00925613815591752,"mod_delta","RPI_12_Weeks_lag4"
"50",0.61617728238824,0.172048404272698,0.00831991054769709,"mod_delta","RPI_12_Weeks_lag4"
"51",0.648100690733824,0.154330130972395,0.00712031428087508,"mod_delta","RPI_12_Weeks_lag4"
"52",0.678225851099928,0.137687073173284,0.006074897787565,"mod_delta","RPI_12_Weeks_lag4"
"53",0.70486597876169,0.122572702192313,0.00517664278985037,"mod_delta","RPI_12_Weeks_lag4"
"54",0.72964841969088,0.108781414283475,0.00443065348106273,"mod_delta","RPI_12_Weeks_lag4"
"55",0.74791315563401,0.0988969378192084,0.00395728951066883,"mod_delta","RPI_12_Weeks_lag4"
"56",0.769079276191884,0.0876152461479903,0.00349828860120747,"mod_delta","RPI_12_Weeks_lag4"
"57",0.799206183326465,0.0713883774764179,0.0030538184749989,"mod_delta","RPI_12_Weeks_lag4"
