"","var","est","se","model","Var"
"1",0.648716403762805,0.945534140968762,0.0671103239317291,"mod_delta","RCPSR_lag1"
"2",0.751201979842843,0.618036998672062,0.0401329351276752,"mod_delta","RCPSR_lag1"
"3",0.769458559103974,0.551605996918148,0.0345563923822939,"mod_delta","RCPSR_lag1"
"4",0.784397618212218,0.503499108738093,0.0307137492382914,"mod_delta","RCPSR_lag1"
"5",0.800315321980648,0.460453091822178,0.0276646250170103,"mod_delta","RCPSR_lag1"
"6",0.815969291651925,0.418126053690247,0.0246933356534553,"mod_delta","RCPSR_lag1"
"7",0.8327033737055,0.368764532580338,0.0211860475372557,"mod_delta","RCPSR_lag1"
"8",0.845062257087924,0.336167785156239,0.0191659805080454,"mod_delta","RCPSR_lag1"
"9",0.855130716187374,0.309760247288861,0.0174107531867372,"mod_delta","RCPSR_lag1"
"10",0.87278841719338,0.265396043917883,0.0148633321969117,"mod_delta","RCPSR_lag1"
"11",0.886318082084798,0.228221323515741,0.0125498081350968,"mod_delta","RCPSR_lag1"
"12",0.895401406369791,0.206604982292196,0.0113695134236265,"mod_delta","RCPSR_lag1"
"13",0.905082905441736,0.177169125861338,0.00968202467400483,"mod_delta","RCPSR_lag1"
"14",0.914228519635616,0.152241055825691,0.00840385772581674,"mod_delta","RCPSR_lag1"
"15",0.926304828739458,0.11840988471198,0.00665690797014153,"mod_delta","RCPSR_lag1"
"16",0.936366396902072,0.0896703545956826,0.00538301712122597,"mod_delta","RCPSR_lag1"
"17",0.940878703356689,0.0763500662406973,0.00495371093130694,"mod_delta","RCPSR_lag1"
"18",0.946154992143348,0.0628743139983212,0.00465209765996964,"mod_delta","RCPSR_lag1"
"19",0.949008542562983,0.0560230471553749,0.00455704705243933,"mod_delta","RCPSR_lag1"
"20",0.953060519695877,0.0469097736108579,0.00448339343377418,"mod_delta","RCPSR_lag1"
"21",0.967197937177417,0.0127738759677251,0.00463100766876449,"mod_delta","RCPSR_lag1"
"22",0.97748397194859,-0.00921304565098402,0.00518520694515348,"mod_delta","RCPSR_lag1"
"23",0.994670113774527,-0.0453683655740645,0.00648389656882266,"mod_delta","RCPSR_lag1"
"24",1.00595739423555,-0.0694439963837109,0.0074463850378908,"mod_delta","RCPSR_lag1"
"25",1.02542251976528,-0.10981298520189,0.00909492867437379,"mod_delta","RCPSR_lag1"
"26",1.04780782235617,-0.156632634011326,0.0110512091976774,"mod_delta","RCPSR_lag1"
"27",1.06469956243511,-0.186230501153473,0.0123115424318059,"mod_delta","RCPSR_lag1"
"28",1.07084754386179,-0.197179354621219,0.0128309144502903,"mod_delta","RCPSR_lag1"
"29",1.08225800682222,-0.2188417959464,0.0138829662756214,"mod_delta","RCPSR_lag1"
"30",1.09274073503786,-0.239274187386454,0.0148428572297255,"mod_delta","RCPSR_lag1"
"31",1.09972622031095,-0.253529459158846,0.0155006689873559,"mod_delta","RCPSR_lag1"
"32",1.12219935048982,-0.295396358691371,0.0174647123027869,"mod_delta","RCPSR_lag1"
"33",1.12766919446761,-0.303756733062091,0.017834841375827,"mod_delta","RCPSR_lag1"
"34",1.14976267176484,-0.337648924770968,0.0193667190857393,"mod_delta","RCPSR_lag1"
"35",1.17564129730644,-0.37884200445819,0.0209660896263622,"mod_delta","RCPSR_lag1"
"36",1.19583285413127,-0.403292773826151,0.0219699636071447,"mod_delta","RCPSR_lag1"
"37",1.23857615222684,-0.443271834194718,0.0235476005066005,"mod_delta","RCPSR_lag1"
"38",1.26436872463153,-0.485226502236267,0.0252466355121248,"mod_delta","RCPSR_lag1"
"39",1.27578019360987,-0.507053891982585,0.0263330570036683,"mod_delta","RCPSR_lag1"
"40",1.31500346382509,-0.55878449394996,0.0287638027917001,"mod_delta","RCPSR_lag1"
"41",1.44509782614344,-0.703609036568342,0.0345131906274457,"mod_delta","RCPSR_lag1"
"42",0.281356147916445,-0.0201585312274985,0.0217860888360242,"mod_delta","RPI_12_Weeks_lag3"
"43",0.383164249692896,-0.0188600424867651,0.0193832339353444,"mod_delta","RPI_12_Weeks_lag3"
"44",0.423010709718147,-0.018246496064372,0.0182586726541068,"mod_delta","RPI_12_Weeks_lag3"
"45",0.45577589642845,-0.0176356664327588,0.0171515869329849,"mod_delta","RPI_12_Weeks_lag3"
"46",0.487974599893095,-0.0170712712955753,0.0161404389532519,"mod_delta","RPI_12_Weeks_lag3"
"47",0.513057656443859,-0.0166709760863026,0.0154329140777619,"mod_delta","RPI_12_Weeks_lag3"
"48",0.543269672903753,-0.0160562006116686,0.014365277571307,"mod_delta","RPI_12_Weeks_lag3"
"49",0.579772962733408,-0.0153315345040592,0.0131410172108364,"mod_delta","RPI_12_Weeks_lag3"
"50",0.605330184087683,-0.0147770933000568,0.0122339272744106,"mod_delta","RPI_12_Weeks_lag3"
"51",0.63379200605939,-0.0141548504213299,0.0112514899922256,"mod_delta","RPI_12_Weeks_lag3"
"52",0.673394053564352,-0.0133556255005507,0.010053079455994,"mod_delta","RPI_12_Weeks_lag3"
"53",0.70075273617968,-0.0127334575465485,0.00917972546560603,"mod_delta","RPI_12_Weeks_lag3"
"54",0.727745272449805,-0.0121717247844718,0.00844062893219921,"mod_delta","RPI_12_Weeks_lag3"
"55",0.744979386033874,-0.0117730841204794,0.00794812675453471,"mod_delta","RPI_12_Weeks_lag3"
"56",0.768090855174208,-0.0112742687526803,0.00737120578239065,"mod_delta","RPI_12_Weeks_lag3"
