,x
1,0.538005162819493
2,0.5734567726993
3,0.608908382579107
4,0.644359992458914
5,0.679811602338721
6,0.715263212218528
7,0.750714822098334
8,0.786166431978141
9,0.821618041857948
10,0.857069651737755
11,0.892521261617562
12,0.927972871497369
13,0.963424481377176
14,0.998876091256983
15,1.03432770113679
16,1.0697793110166
17,1.1052309208964
18,1.14068253077621
19,1.17613414065602
20,1.21158575053582
21,1.24703736041563
22,1.28248897029544
23,1.31794058017524
24,1.35339219005505
25,1.38884379993486
26,1.42429540981466
27,1.45974701969447
28,1.49519862957428
29,1.53065023945409
30,1.56610184933389
31,1.6015534592137
32,1.63700506909351
33,1.67245667897331
34,1.70790828885312
35,1.74335989873293
36,1.77881150861273
37,1.81426311849254
38,1.84971472837235
39,1.88516633825215
40,1.92061794813196
