"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"30","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0715236128240438,0.020541770315249,0.880371450728084,NA,NA,NA,NA,NA,NA,NA
"31","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0674626870150477,0.0198680517568238,0.887052498224002,NA,NA,NA,NA,NA,NA,NA
"32","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0634017406079463,0.019212158060925,0.893733545719921,NA,NA,NA,NA,NA,NA,NA
"33","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0593407727565212,0.0185759729910078,0.900414593215839,NA,NA,NA,NA,NA,NA,NA
"34","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.055279782650468,0.0179615862421746,0.907095640711757,NA,NA,NA,NA,NA,NA,NA
"35","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0512187695197559,0.0173713061024227,0.913776688207675,NA,NA,NA,NA,NA,NA,NA
"36","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0471577326255831,0.016807667770097,0.920457735703593,NA,NA,NA,NA,NA,NA,NA
"37","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0430966712669586,0.0162734348431983,0.927138783199512,NA,NA,NA,NA,NA,NA,NA
"38","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0390355847891977,0.0157715908733469,0.93381983069543,NA,NA,NA,NA,NA,NA,NA
"39","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0349744725950299,0.0153053173602365,0.940500878191348,NA,NA,NA,NA,NA,NA,NA
"40","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0309133341563647,0.0148779543164216,0.947181925687266,NA,NA,NA,NA,NA,NA,NA
"41","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.02685216900572,0.0144929397977196,0.953862973183184,NA,NA,NA,NA,NA,NA,NA
"42","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0227909767187515,0.0141537259173936,0.960544020679102,NA,NA,NA,NA,NA,NA,NA
"43","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.018729756922982,0.0138636710747199,0.967225068175021,NA,NA,NA,NA,NA,NA,NA
"44","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0146685093027527,0.0136259114185863,0.973906115670939,NA,NA,NA,NA,NA,NA,NA
"45","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0106072335903904,0.0134432188095617,0.980587163166857,NA,NA,NA,NA,NA,NA,NA
"46","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.00654592956829845,0.0133178569806957,0.987268210662775,NA,NA,NA,NA,NA,NA,NA
"47","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.00248459707321143,0.0132514509657886,0.993949258158693,NA,NA,NA,NA,NA,NA,NA
"48","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.001576763986283,0.0132448859641807,1.00063030565461,NA,NA,NA,NA,NA,NA,NA
"49","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.00563815362303914,0.0132982495954756,1.00731135315053,NA,NA,NA,NA,NA,NA,NA
"50","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.00969957180489735,0.0134108260282391,1.01399240064645,NA,NA,NA,NA,NA,NA,NA
"51","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0137610184727182,0.0135811429309768,1.02067344814237,NA,NA,NA,NA,NA,NA,NA
"52","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0178224935138898,0.0138070642923605,1.02735449563828,NA,NA,NA,NA,NA,NA,NA
"53","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0218839967746485,0.0140859159609706,1.0340355431342,NA,NA,NA,NA,NA,NA,NA
"54","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0259455280566606,0.0144146279864086,1.04071659063012,NA,NA,NA,NA,NA,NA,NA
"55","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0300070870840447,0.0147898782210463,1.04739763812604,NA,NA,NA,NA,NA,NA,NA
"56","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0340686735020374,0.0152082245685769,1.05407868562196,NA,NA,NA,NA,NA,NA,NA
"57","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0381302868990986,0.0156662176433725,1.06075973311788,NA,NA,NA,NA,NA,NA,NA
"58","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0421919268224436,0.0161604899734402,1.06744078061379,NA,NA,NA,NA,NA,NA,NA
"59","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0462535927561792,0.016687821438436,1.07412182810971,NA,NA,NA,NA,NA,NA,NA
"60","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0503152841329883,0.0172451829875526,1.08080287560563,NA,NA,NA,NA,NA,NA,NA
